POSTE;DATE;RR;DRR;TN;TX;TM;FFM;DXY;UM
13054001;20080522;0,0;0;13,6;24,7;18,9;3,7;250;58
13054001;20080523;0,2;0;13,7;24,5;19,6;3,8;160;59
13054001;20080524;0,0;0;18,0;26,1;20,8;6,9;150;63
13054001;20080525;32,8;916;17,5;22,1;19,2;5,9;90;74
13054001;20080526;0,4;254;16,0;27,9;22,4;7,5;80;56
13054001;20080527;2,0;90;19,4;29,1;23,7;9,1;140;53
13054001;20080528;16,0;;16,3;22,6;19,2;4,2;290;70
13054001;20080529;3,8;297;15,1;20,7;17,9;2,4;310;91
13054001;20080530;0,0;0;16,7;23,1;19,6;2,5;170;82
13054001;20080531;0,0;35;15,1;24,9;19,5;3,1;190;75
13054001;20080601;17,2;421;17,3;24,9;20,2;2,4;190;74
13054001;20080602;0,0;0;16,5;22,6;19,3;3,1;210;78
13054001;20080603;0,0;0;14,7;24,8;20,3;4,8;340;68
13054001;20080604;0,0;0;17,1;25,1;20,6;9,3;330;56
13054001;20080605;0,0;0;16,8;22,9;19,4;8,5;340;63
13054001;20080606;0,0;35;15,5;22,0;17,7;9,2;340;64
13054001;20080607;0,2;65;15,2;21,4;17,5;9,8;330;60
13054001;20080608;0,0;0;12,4;25,9;18,7;3,2;300;69
13054001;20080609;3,4;179;15,1;23,9;19,2;1,8;110;79
13054001;20080610;0,0;0;15,6;26,1;21,2;2,6;210;68
13054001;20080611;0,0;0;16,7;27,1;21,6;3,3;300;69
13054001;20080612;0,0;0;17,6;26,9;22,2;7,3;330;56
13054001;20080613;0,0;0;16,0;24,0;19,6;10,1;330;48
13054001;20080614;0,0;0;14,8;23,2;18,6;8,4;330;43
13054001;20080615;0,2;146;13,6;22,9;18,4;2,4;320;56
13054001;20080616;0,0;0;14,7;24,2;20,3;4,4;160;65
13054001;20080617;1,2;;17,0;23,8;20,4;3,2;300;73
13054001;20080618;0,0;0;16,5;28,1;21,7;5,0;290;62
13054001;20080619;0,0;0;15,3;31,0;22,9;3,2;260;58
13054001;20080620;0,0;0;16,5;33,9;25,5;3,2;250;54
13054001;20080621;0,0;0;19,7;31,5;25,4;3,0;200;55
13054001;20080622;0,0;0;18,7;30,6;24,7;3,3;190;62
13054001;20080623;0,0;0;18,8;31,6;25,1;3,1;210;58
13054001;20080624;0,0;0;20,3;33,2;26,5;3,5;170;47
13054001;20080625;0,0;0;21,1;32,2;26,3;2,9;200;53
13054001;20080626;0,0;0;19,5;34,0;27,2;2,9;230;59
13054001;20080627;0,0;0;24,3;33,0;28,1;8,1;340;44
13054001;20080628;0,0;0;19,1;34,5;27,5;3,5;190;45
13054001;20080629;0,0;0;21,8;32,2;26,8;2,7;210;60
13054001;20080630;0,0;0;19,8;33,5;27,0;3,0;190;64
13054001;20080701;0,0;0;21,8;30,4;26,1;3,5;190;70
13054001;20080702;0,0;0;21,8;30,6;26,3;4,3;190;64
13054001;20080703;0,0;16;23,7;28,5;24,4;5,3;110;65
13054001;20080704;0,0;0;17,2;29,8;23,2;7,2;300;57
13054001;20080705;0,0;0;17,5;32,9;25,4;2,9;260;55
13054001;20080706;0,8;104;20,2;29,0;24,5;3,4;200;62
13054001;20080707;0,0;0;18,6;29,0;23,9;6,7;300;47
13054001;20080708;0,0;0;17,6;28,9;23,4;7,4;310;43
13054001;20080709;0,0;0;18,3;31,3;24,0;5,7;250;51
13054001;20080710;0,0;0;17,6;31,8;24,6;3,4;200;62
13054001;20080711;0,0;0;20,3;29,6;24,4;4,0;210;66
13054001;20080712;0,4;240;20,2;31,4;24,1;4,4;310;66
13054001;20080713;0,0;0;17,4;27,3;22,2;8,3;340;58
13054001;20080714;0,0;0;16,7;25,6;21,2;11,5;330;49
13054001;20080715;0,0;0;15,5;30,5;23,7;2,7;180;43
13054001;20080716;0,0;0;16,4;28,6;22,9;2,9;280;55
13054001;20080717;0,0;0;18,3;30,4;24,9;4,9;340;56
13054001;20080718;0,0;0;20,6;30,1;25,3;8,6;320;45
13054001;20080719;0,0;0;17,2;30,4;24,5;3,0;210;54
13054001;20080720;1,8;146;21,3;29,4;24,8;3,2;110;73
13054001;20080721;0,0;0;19,2;26,6;22,2;11,3;340;41
13054001;20080722;0,0;0;17,4;29,3;22,8;7,5;350;41
13054001;20080723;0,0;0;15,4;29,9;23,0;2,9;200;43
13054001;20080724;1,4;10;17,5;28,8;23,4;2,9;200;56
13054001;20080725;0,0;0;20,1;29,0;23,9;2,8;210;79
13054001;20080726;0,0;11;19,7;32,2;25,4;3,3;250;66
13054001;20080727;0,0;0;19,0;32,6;25,8;4,3;250;57
13054001;20080728;0,0;0;20,6;32,9;26,3;2,9;200;58
13054001;20080729;0,0;0;20,6;30,8;25,7;3,3;190;67
13054001;20080730;0,0;0;19,9;32,5;26,5;2,8;210;57
13054001;20080731;0,0;0;19,8;33,7;27,4;3,1;190;44
13054001;20080801;0,0;0;19,7;32,5;26,5;3,4;220;54
13054001;20080802;0,0;0;19,7;32,5;26,7;6,1;320;51
13054001;20080803;0,0;0;22,7;34,9;27,4;4,5;330;51
13054001;20080804;0,0;0;21,2;34,9;28,3;2,8;260;54
13054001;20080805;0,0;0;21,0;36,3;28,2;4,0;250;55
13054001;20080806;0,0;0;23,5;33,1;27,5;4,4;300;59
13054001;20080807;0,0;0;22,4;32,8;26,7;3,3;140;66
13054001;20080808;0,0;0;21,5;30,4;25,6;9,4;320;48
13054001;20080809;0,0;0;20,5;30,9;25,2;7,0;330;44
13054001;20080810;0,0;0;15,8;29,8;23,1;3,0;270;55
13054001;20080811;0,6;79;20,3;27,0;24,1;4,7;160;79
13054001;20080812;0,2;25;22,6;30,4;25,4;6,1;160;71
13054001;20080813;0,0;0;19,2;29,4;24,0;6,4;330;48
13054001;20080814;0,0;12;16,7;26,9;22,0;3,5;270;58
